epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.317,0.04578,1.65362,1.36443,0.06449,0.39967,0.08306,0.03319,0.07046,3.31003,3.25552,0.0647685,0.0035185,0.0035185
2,196.62,0.04789,1.37597,1.42084,0.38628,0.18802,0.13791,0.05268,0.05904,4.15108,2.15431,0.0287347,0.00685968,0.00685968
3,295.487,0.04739,1.34793,1.4155,0.49641,0.37303,0.26733,0.1082,0.05454,3.52235,1.92439,0.00848077,0.00848077,0.00848077
4,377.374,0.04636,1.23574,1.36471,0.58544,0.43522,0.41673,0.16665,0.05574,3.71409,1.85433,0.00818115,0.00818115,0.00818115
5,459.044,0.04402,1.14295,1.31426,0.64648,0.32116,0.37643,0.16198,0.05418,2.77615,1.83252,0.00788154,0.00788154,0.00788154
6,554.959,0.043,1.08385,1.28359,0.75683,0.49611,0.54932,0.26201,0.04596,1.32548,1.55756,0.00758192,0.00758192,0.00758192
7,644.683,0.04198,1.03898,1.2805,0.75099,0.57169,0.62608,0.30058,0.04569,0.99438,1.51653,0.00728231,0.00728231,0.00728231
8,731.297,0.04169,1.01339,1.26106,0.5329,0.59211,0.61058,0.29139,0.04457,1.21044,1.45562,0.00698269,0.00698269,0.00698269
9,822.428,0.04133,0.97974,1.24681,0.73056,0.49929,0.55361,0.26529,0.04663,1.12035,1.53356,0.00668307,0.00668307,0.00668307
10,909.826,0.04063,0.96233,1.23072,0.80537,0.52099,0.66296,0.30137,0.04568,1.11955,1.50405,0.00638346,0.00638346,0.00638346
11,997.047,0.04008,0.91897,1.22786,0.67995,0.66068,0.73213,0.37933,0.04151,0.88152,1.38834,0.00608384,0.00608384,0.00608384
12,1085.63,0.03929,0.88351,1.20794,0.67477,0.66422,0.76722,0.39384,0.04151,0.85165,1.3713,0.00578423,0.00578423,0.00578423
13,1171.34,0.03935,0.87836,1.20613,0.63111,0.72598,0.71341,0.36577,0.04128,0.87774,1.39696,0.00548461,0.00548461,0.00548461
14,1252.25,0.03948,0.88554,1.20767,0.79485,0.66866,0.746,0.39053,0.041,0.82844,1.36805,0.00518499,0.00518499,0.00518499
15,1343.97,0.03852,0.84476,1.19375,0.75887,0.70211,0.75402,0.39438,0.04168,0.77664,1.38194,0.00488538,0.00488538,0.00488538
16,1424.35,0.0387,0.82763,1.18824,0.81443,0.692,0.79132,0.41488,0.04029,0.8202,1.3414,0.00458576,0.00458576,0.00458576
17,1514.64,0.03802,0.8269,1.16968,0.84397,0.69009,0.78489,0.42472,0.03916,0.74068,1.31577,0.00428615,0.00428615,0.00428615
18,1607.44,0.03778,0.79986,1.17346,0.77031,0.74125,0.77147,0.42966,0.03856,0.73963,1.29068,0.00398653,0.00398653,0.00398653
19,1705.52,0.03758,0.78838,1.16555,0.84361,0.71716,0.7956,0.42574,0.03874,0.71114,1.30047,0.00368692,0.00368692,0.00368692
20,1785.36,0.03713,0.76474,1.15784,0.82386,0.74808,0.7839,0.43283,0.03853,0.70822,1.30088,0.0033873,0.0033873,0.0033873
21,1930.12,0.03579,0.70396,1.14725,0.85903,0.67291,0.79092,0.43187,0.03945,0.71148,1.30597,0.00308768,0.00308768,0.00308768
22,2000.35,0.03573,0.68608,1.14241,0.80134,0.76725,0.8173,0.42058,0.03967,0.69745,1.32823,0.00278807,0.00278807,0.00278807
23,2077.32,0.03582,0.69292,1.1477,0.87745,0.74399,0.8249,0.45103,0.03932,0.67555,1.31448,0.00248845,0.00248845,0.00248845
24,2150.1,0.0351,0.66672,1.12365,0.80342,0.76844,0.81346,0.43754,0.03872,0.70362,1.30051,0.00218884,0.00218884,0.00218884
25,2225.25,0.03475,0.6557,1.11599,0.81157,0.77055,0.83437,0.43982,0.0388,0.69088,1.28786,0.00188922,0.00188922,0.00188922
26,2306.98,0.03449,0.64329,1.11024,0.80679,0.83498,0.86356,0.46933,0.03746,0.64926,1.26532,0.00158961,0.00158961,0.00158961
27,2382.83,0.03405,0.62421,1.09857,0.78134,0.73924,0.81563,0.44531,0.03863,0.64394,1.29907,0.00128999,0.00128999,0.00128999
28,2456.26,0.03345,0.61173,1.09485,0.82982,0.74324,0.81461,0.46621,0.03732,0.64212,1.25459,0.000990374,0.000990374,0.000990374
29,2539.28,0.03335,0.5924,1.08989,0.85867,0.75564,0.82785,0.46852,0.03725,0.62522,1.2542,0.000690758,0.000690758,0.000690758
30,2615.42,0.03277,0.58385,1.07231,0.83226,0.7397,0.81394,0.4661,0.03767,0.61742,1.26037,0.000391142,0.000391142,0.000391142
