epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,112.713,0.04196,1.49486,1.42097,0.61659,0.03071,0.07489,0.03353,0.06903,3.1575,4.00859,0.0695664,0.00307989,0.00307989
2,198.827,0.0443,1.21298,1.47482,0.40511,0.25049,0.1029,0.038,0.06003,4.44388,2.53432,0.038437,0.00600455,0.00600455
3,288.057,0.04463,1.23507,1.49528,0.48077,0.23573,0.21384,0.08495,0.05897,5.66281,2.40488,0.00858346,0.00858346,0.00858346
4,374.75,0.04265,1.11811,1.43223,0.49185,0.33432,0.26708,0.11567,0.05325,2.80868,2.01528,0.00828019,0.00828019,0.00828019
5,460.885,0.04167,1.05237,1.39886,0.71786,0.36107,0.42914,0.19129,0.04661,1.8148,1.72463,0.00797692,0.00797692,0.00797692
6,553.126,0.03998,0.97088,1.3535,0.73579,0.50809,0.56358,0.27228,0.04286,1.16916,1.60944,0.00767365,0.00767365,0.00767365
7,632.55,0.03911,0.93319,1.34499,0.7784,0.44956,0.54777,0.24439,0.04559,1.39549,1.70003,0.00737038,0.00737038,0.00737038
8,725.341,0.03827,0.88393,1.30826,0.61735,0.58408,0.60303,0.28887,0.04273,1.00707,1.5704,0.00706711,0.00706711,0.00706711
9,815.957,0.03832,0.89893,1.33238,0.5234,0.59078,0.56965,0.27047,0.04384,1.11215,1.6191,0.00676384,0.00676384,0.00676384
10,900.634,0.03762,0.84861,1.29385,0.54084,0.68964,0.67744,0.33642,0.04107,0.80399,1.53642,0.00646057,0.00646057,0.00646057
11,982.556,0.03753,0.85305,1.28983,0.64776,0.65329,0.71378,0.36777,0.03937,0.8069,1.46219,0.0061573,0.0061573,0.0061573
12,1079.49,0.03658,0.80185,1.26177,0.71962,0.71181,0.74003,0.38576,0.0378,0.77145,1.43292,0.00585403,0.00585403,0.00585403
13,1171.45,0.03667,0.80425,1.26297,0.73961,0.63057,0.75227,0.39543,0.03841,0.74818,1.4348,0.00555076,0.00555076,0.00555076
14,1250.24,0.03575,0.77282,1.25408,0.63807,0.74151,0.74763,0.38447,0.03715,0.71645,1.38419,0.00524749,0.00524749,0.00524749
15,1342.83,0.03539,0.75175,1.24288,0.65907,0.77091,0.75798,0.39759,0.03753,0.7563,1.41959,0.00494422,0.00494422,0.00494422
16,1422.07,0.03607,0.75453,1.24277,0.78088,0.70767,0.76787,0.39671,0.03776,0.75529,1.43579,0.00464095,0.00464095,0.00464095
17,1511.69,0.03553,0.75415,1.23865,0.73886,0.70301,0.76317,0.4085,0.03797,0.68134,1.44182,0.00433768,0.00433768,0.00433768
18,1601.81,0.03496,0.72356,1.24,0.70607,0.72766,0.74373,0.38659,0.03792,0.70166,1.41563,0.00403441,0.00403441,0.00403441
19,1694.92,0.03471,0.70379,1.20952,0.68818,0.79585,0.83427,0.44642,0.03626,0.64316,1.3795,0.00373114,0.00373114,0.00373114
20,1776.33,0.03441,0.69998,1.20567,0.77412,0.75119,0.82326,0.44372,0.03617,0.63399,1.36369,0.00342787,0.00342787,0.00342787
21,1908.41,0.03313,0.64229,1.19781,0.75987,0.7726,0.81989,0.44099,0.03668,0.6456,1.39515,0.0031246,0.0031246,0.0031246
22,1991.52,0.03346,0.62234,1.20011,0.78417,0.73103,0.78723,0.42168,0.03749,0.67251,1.40148,0.00282133,0.00282133,0.00282133
23,2073.35,0.03315,0.62432,1.19948,0.81748,0.7477,0.8181,0.46079,0.03613,0.61245,1.36704,0.00251806,0.00251806,0.00251806
24,2148.75,0.03244,0.60316,1.17733,0.74619,0.7444,0.80548,0.4474,0.03576,0.63342,1.36166,0.00221479,0.00221479,0.00221479
25,2226.83,0.0323,0.59502,1.1725,0.83942,0.72667,0.80747,0.4437,0.03576,0.62567,1.34934,0.00191152,0.00191152,0.00191152
26,2311.86,0.03181,0.57618,1.16238,0.82974,0.81487,0.85688,0.45455,0.03546,0.59735,1.35379,0.00160825,0.00160825,0.00160825
27,2388.46,0.03172,0.56616,1.15514,0.86854,0.76682,0.84101,0.47421,0.03512,0.57577,1.3405,0.00130498,0.00130498,0.00130498
28,2462,0.03106,0.54906,1.14771,0.89724,0.74488,0.82826,0.47161,0.03444,0.56498,1.31392,0.00100171,0.00100171,0.00100171
29,2546.26,0.03085,0.53283,1.14115,0.88734,0.74256,0.83876,0.4741,0.03444,0.55721,1.31422,0.00069844,0.00069844,0.00069844
30,2619.28,0.03041,0.52835,1.1251,0.89132,0.77409,0.86371,0.48288,0.03467,0.55049,1.32103,0.00039517,0.00039517,0.00039517
