epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.558,0.04505,2.11685,1.67374,0.09989,0.44054,0.15392,0.05653,0.06227,3.96466,3.09922,0.074452,0.00289239,0.00289239
2,201.337,0.04693,1.69633,1.74358,0.5442,0.16956,0.11205,0.04165,0.06714,4.33352,3.29937,0.0482995,0.00563899,0.00563899
3,298.952,0.0465,1.60854,1.75724,0.42173,0.16409,0.11284,0.0425,0.06611,14.1401,3.05686,0.0219531,0.00819161,0.00819161
4,383.871,0.04518,1.53811,1.7273,0.74736,0.37395,0.46553,0.21213,0.04955,3.36091,2.22672,0.00916317,0.00916317,0.00916317
5,476.192,0.04518,1.51009,1.69936,0.66191,0.43867,0.45844,0.20005,0.05096,2.64069,2.19181,0.00882756,0.00882756,0.00882756
6,573.956,0.04291,1.36773,1.65583,0.77538,0.46858,0.56946,0.26904,0.04766,1.68356,2.11249,0.00849195,0.00849195,0.00849195
7,663.873,0.04163,1.30375,1.62037,0.58944,0.53073,0.60252,0.30783,0.04349,1.61672,1.90333,0.00815634,0.00815634,0.00815634
8,747.199,0.04112,1.2862,1.59873,0.77541,0.59439,0.70969,0.37218,0.04084,1.33739,1.79562,0.00782073,0.00782073,0.00782073
9,850.643,0.041,1.25523,1.5893,0.69083,0.60244,0.66317,0.32402,0.04562,1.37664,1.97287,0.00748512,0.00748512,0.00748512
10,946.41,0.04074,1.22246,1.57579,0.62131,0.70064,0.7159,0.36298,0.04306,1.20709,1.84908,0.00714951,0.00714951,0.00714951
11,1042.19,0.04045,1.20592,1.56318,0.73774,0.61714,0.71761,0.35837,0.04424,1.33391,1.88893,0.0068139,0.0068139,0.0068139
12,1142.39,0.04039,1.16936,1.57352,0.83923,0.69699,0.82885,0.42437,0.04208,1.06737,1.82334,0.00647829,0.00647829,0.00647829
13,1231.95,0.03935,1.15309,1.55228,0.69752,0.69595,0.74233,0.39086,0.04099,1.13378,1.79469,0.00614268,0.00614268,0.00614268
14,1326.74,0.03935,1.13709,1.54269,0.7204,0.67044,0.74865,0.39704,0.04037,1.07054,1.75625,0.00580707,0.00580707,0.00580707
15,1427.3,0.03818,1.10378,1.52285,0.82984,0.6748,0.74644,0.40268,0.03999,1.03351,1.74327,0.00547146,0.00547146,0.00547146
16,1516.75,0.03862,1.07613,1.4995,0.78787,0.69626,0.75446,0.39288,0.04073,1.06797,1.74554,0.00513585,0.00513585,0.00513585
17,1612.42,0.0382,1.0687,1.51543,0.70278,0.74475,0.80899,0.42191,0.04176,1.09092,1.80757,0.00480024,0.00480024,0.00480024
18,1709.08,0.03808,1.04642,1.5212,0.77436,0.72865,0.77368,0.42616,0.03977,0.97483,1.74485,0.00446463,0.00446463,0.00446463
19,1805.22,0.03796,1.02939,1.51226,0.7667,0.75229,0.78117,0.4278,0.03939,0.95162,1.72474,0.00412902,0.00412902,0.00412902
20,1889.86,0.03679,1.00076,1.48235,0.73212,0.81053,0.83291,0.43756,0.03985,0.91812,1.74011,0.00379341,0.00379341,0.00379341
21,2028.24,0.03656,0.93252,1.50837,0.78697,0.72424,0.78177,0.42983,0.03971,0.93986,1.73121,0.0034578,0.0034578,0.0034578
22,2113.09,0.03621,0.90016,1.49343,0.8223,0.84146,0.88432,0.45193,0.03996,0.93432,1.74989,0.00312219,0.00312219,0.00312219
23,2196.89,0.03606,0.90352,1.48992,0.88646,0.72323,0.83141,0.44735,0.03892,0.90415,1.70715,0.00278658,0.00278658,0.00278658
24,2274.9,0.03561,0.86579,1.47236,0.84941,0.74085,0.8246,0.45554,0.03846,0.89273,1.69521,0.00245097,0.00245097,0.00245097
25,2359.13,0.03531,0.85408,1.46473,0.81649,0.7587,0.8327,0.45405,0.03874,0.89501,1.71031,0.00211536,0.00211536,0.00211536
26,2448.54,0.03503,0.831,1.45178,0.76496,0.84367,0.83896,0.46533,0.03816,0.85738,1.67555,0.00177975,0.00177975,0.00177975
27,2528.18,0.03484,0.81663,1.44481,0.70398,0.77417,0.80129,0.44386,0.03844,0.86662,1.67984,0.00144414,0.00144414,0.00144414
28,2603.49,0.03406,0.8014,1.43485,0.79308,0.75541,0.81212,0.44872,0.03804,0.84836,1.6847,0.00110853,0.00110853,0.00110853
29,2690.35,0.03381,0.77559,1.43489,0.77547,0.83485,0.84662,0.46556,0.03745,0.81197,1.66446,0.00077292,0.00077292,0.00077292
30,2770.43,0.03348,0.76195,1.41078,0.85847,0.75638,0.82339,0.46423,0.03735,0.80611,1.65419,0.00043731,0.00043731,0.00043731
