epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,105.01,0.03866,1.67914,1.36983,0.04146,0.14362,0.03033,0.01043,0.06401,3.74084,4.01759,0.0671799,0.00343719,0.00343719
2,200.01,0.04101,1.44237,1.45144,0.11389,0.22042,0.09642,0.03243,0.05942,6.54413,2.89463,0.0336025,0.00670187,0.00670187
3,302.773,0.04069,1.39386,1.45315,0.4241,0.25477,0.15986,0.06122,0.05471,3.6096,2.21684,0.00885632,0.00885632,0.00885632
4,395.917,0.03939,1.31809,1.40743,0.57697,0.32619,0.3456,0.14534,0.04609,2.64623,1.85616,0.00854448,0.00854448,0.00854448
5,482.133,0.0377,1.17659,1.35977,0.72396,0.45719,0.51403,0.22424,0.04343,1.36328,1.69885,0.00823263,0.00823263,0.00823263
6,580.626,0.03639,1.12674,1.31654,0.70316,0.39958,0.46543,0.21553,0.04113,1.45545,1.60942,0.00792079,0.00792079,0.00792079
7,670.099,0.03569,1.05748,1.30037,0.82491,0.53093,0.64066,0.30012,0.03873,1.11499,1.52973,0.00760895,0.00760895,0.00760895
8,762.087,0.03534,1.0313,1.28162,0.54665,0.60134,0.61889,0.26815,0.04419,1.23256,1.70722,0.00729711,0.00729711,0.00729711
9,853.42,0.03455,0.98986,1.26476,0.79426,0.62022,0.68107,0.33877,0.03688,1.05066,1.46107,0.00698527,0.00698527,0.00698527
10,946.218,0.0341,0.97231,1.24676,0.7543,0.62734,0.7223,0.35908,0.03725,1.04601,1.47574,0.00667343,0.00667343,0.00667343
11,1038.83,0.03417,0.95211,1.23966,0.70231,0.76927,0.80164,0.38884,0.03576,0.89067,1.4113,0.00636159,0.00636159,0.00636159
12,1133.53,0.0333,0.91688,1.22536,0.75042,0.69789,0.76804,0.40685,0.03456,0.86442,1.38188,0.00604974,0.00604974,0.00604974
13,1223.29,0.03332,0.8908,1.21855,0.76528,0.67797,0.73459,0.37951,0.03452,0.94355,1.3786,0.0057379,0.0057379,0.0057379
14,1318.33,0.03244,0.86304,1.19115,0.75444,0.71374,0.78655,0.41526,0.03513,0.77846,1.40102,0.00542606,0.00542606,0.00542606
15,1406.57,0.03235,0.85458,1.18398,0.74099,0.65592,0.72516,0.3638,0.03623,0.8873,1.41177,0.00511422,0.00511422,0.00511422
16,1492.46,0.03222,0.84134,1.18707,0.77676,0.63169,0.73596,0.37487,0.03477,0.85615,1.37961,0.00480238,0.00480238,0.00480238
17,1578.48,0.03154,0.83096,1.17976,0.82263,0.75715,0.80945,0.41876,0.03376,0.7598,1.36357,0.00449054,0.00449054,0.00449054
18,1665.43,0.03192,0.81848,1.19643,0.7708,0.7018,0.76066,0.39891,0.03483,0.78616,1.3722,0.0041787,0.0041787,0.0041787
19,1745.5,0.03127,0.7912,1.1723,0.87397,0.69424,0.81817,0.42006,0.03425,0.74376,1.35591,0.00386685,0.00386685,0.00386685
20,1830.67,0.03092,0.78609,1.16649,0.82758,0.68582,0.77661,0.42193,0.03275,0.73774,1.30915,0.00355501,0.00355501,0.00355501
21,1980.43,0.03037,0.72553,1.16135,0.82679,0.72343,0.79845,0.43898,0.03274,0.71161,1.33314,0.00324317,0.00324317,0.00324317
22,2064.07,0.03001,0.69673,1.15246,0.83568,0.68057,0.76945,0.43086,0.03277,0.72687,1.32081,0.00293133,0.00293133,0.00293133
23,2146.13,0.03001,0.6917,1.15168,0.85555,0.69547,0.78984,0.44282,0.03275,0.69391,1.3058,0.00261949,0.00261949,0.00261949
24,2222.8,0.02966,0.67165,1.13901,0.81639,0.70558,0.77786,0.41417,0.03359,0.72541,1.33801,0.00230765,0.00230765,0.00230765
25,2296.88,0.02926,0.66129,1.12612,0.82522,0.73741,0.80547,0.44292,0.03175,0.68919,1.27339,0.00199581,0.00199581,0.00199581
26,2379.5,0.02882,0.64899,1.11247,0.821,0.72302,0.80103,0.44875,0.03188,0.67819,1.28415,0.00168396,0.00168396,0.00168396
27,2455.49,0.02873,0.62713,1.10739,0.75834,0.83204,0.84388,0.46203,0.03177,0.65373,1.28545,0.00137212,0.00137212,0.00137212
28,2528.72,0.02822,0.6117,1.10286,0.75626,0.77324,0.82199,0.46212,0.03177,0.66229,1.28431,0.00106028,0.00106028,0.00106028
29,2609.98,0.02797,0.59716,1.09482,0.81036,0.79544,0.83754,0.47041,0.03117,0.62615,1.26373,0.00074844,0.00074844,0.00074844
30,2687.47,0.02751,0.58914,1.08098,0.84378,0.78394,0.84392,0.47264,0.03135,0.62543,1.27135,0.000436598,0.000436598,0.000436598
