epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,129.5,0.04303,1.52557,1.27552,0.00043,0.00415,0.00028,5e-05,0.0855,3.8021,6.68941,0.0644468,0.0039372,0.0039372
2,235.332,0.0466,1.33491,1.35965,0.64764,0.04663,0.04303,0.01297,0.06342,6.70218,2.42261,0.0280581,0.00767595,0.00767595
3,340.621,0.04558,1.2857,1.34176,0.49764,0.26702,0.17612,0.06506,0.05721,4.32018,1.90314,0.00931198,0.00931198,0.00931198
4,431.55,0.04329,1.14666,1.2771,0.59938,0.42974,0.4026,0.17237,0.04713,1.68381,1.51763,0.00898297,0.00898297,0.00898297
5,527.79,0.04181,1.07566,1.24079,0.65692,0.47069,0.49172,0.22257,0.04548,1.258,1.49578,0.00865396,0.00865396,0.00865396
6,628.965,0.04003,0.99265,1.19545,0.74816,0.56595,0.6274,0.29682,0.04156,1.01862,1.35767,0.00832495,0.00832495,0.00832495
7,715.05,0.03995,0.9656,1.20336,0.68493,0.55334,0.60798,0.29122,0.04206,0.94438,1.3747,0.00799594,0.00799594,0.00799594
8,807.939,0.03925,0.92489,1.17856,0.72133,0.50676,0.58351,0.27397,0.04237,0.99743,1.39591,0.00766693,0.00766693,0.00766693
