epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,111.339,0.04435,1.46875,1.40197,0.44341,0.10225,0.07439,0.02859,0.06144,2.82142,2.83032,0.0664173,0.00310367,0.00310367
2,191.985,0.04699,1.21018,1.47484,0.15847,0.40961,0.1398,0.05742,0.05895,4.55273,2.48487,0.0320866,0.00605106,0.00605106
3,283.969,0.04697,1.18777,1.47104,0.4861,0.24978,0.25245,0.09494,0.06248,3.65915,2.36886,0.00790206,0.00790206,0.00790206
4,365.991,0.04444,1.08887,1.4139,0.56611,0.35954,0.32558,0.14357,0.055,1.71978,1.97403,0.00762309,0.00762309,0.00762309
5,457.318,0.04302,1.01792,1.39035,0.74497,0.42855,0.50593,0.23077,0.05162,1.29178,1.82002,0.00734411,0.00734411,0.00734411
6,548.474,0.0432,0.97963,1.38038,0.79331,0.51297,0.5864,0.29177,0.04425,1.06717,1.5483,0.00706514,0.00706514,0.00706514
7,627.548,0.04229,0.94567,1.35958,0.73605,0.49286,0.51695,0.24292,0.04706,1.58316,1.63274,0.00678617,0.00678617,0.00678617
8,712.425,0.04068,0.88568,1.32148,0.71387,0.62402,0.69431,0.35222,0.04228,0.87967,1.50131,0.0065072,0.0065072,0.0065072
9,809.836,0.0405,0.85625,1.30842,0.68685,0.64169,0.70584,0.35182,0.04302,0.84533,1.47904,0.00622823,0.00622823,0.00622823
10,890.527,0.04046,0.854,1.31473,0.6494,0.70618,0.69196,0.35028,0.04177,0.92373,1.4987,0.00594926,0.00594926,0.00594926
11,978.252,0.03943,0.81767,1.28504,0.74728,0.72867,0.75748,0.3818,0.04071,0.78942,1.42702,0.00567029,0.00567029,0.00567029
12,1072.66,0.03954,0.8136,1.28683,0.8649,0.70097,0.82125,0.41107,0.04107,0.73736,1.45082,0.00539132,0.00539132,0.00539132
13,1152.62,0.03879,0.78733,1.26006,0.75216,0.71359,0.77488,0.38564,0.04206,0.73961,1.4927,0.00511234,0.00511234,0.00511234
14,1242.76,0.03815,0.76969,1.25821,0.70015,0.62988,0.70752,0.38594,0.04005,0.75484,1.42085,0.00483337,0.00483337,0.00483337
15,1345.5,0.03751,0.73867,1.24066,0.67292,0.76397,0.76962,0.40628,0.04141,0.72741,1.42834,0.0045544,0.0045544,0.0045544
16,1430.21,0.03793,0.74888,1.25032,0.68195,0.75646,0.77437,0.40171,0.04058,0.75779,1.43052,0.00427543,0.00427543,0.00427543
17,1516.16,0.03749,0.73785,1.24694,0.81135,0.76007,0.81929,0.44761,0.03843,0.65719,1.3715,0.00399646,0.00399646,0.00399646
18,1612.11,0.03738,0.70634,1.23495,0.72036,0.76117,0.78723,0.42085,0.03893,0.6464,1.37682,0.00371749,0.00371749,0.00371749
19,1708.76,0.037,0.70314,1.23772,0.839,0.68791,0.78888,0.42415,0.03887,0.66295,1.38999,0.00343852,0.00343852,0.00343852
20,1796.38,0.03608,0.68504,1.21569,0.83688,0.7632,0.83385,0.4559,0.03873,0.6147,1.38118,0.00315954,0.00315954,0.00315954
21,1923.9,0.03537,0.63598,1.20945,0.70478,0.75902,0.7673,0.42459,0.03857,0.64661,1.37883,0.00288057,0.00288057,0.00288057
22,2008.56,0.03541,0.61883,1.20457,0.77308,0.77035,0.83101,0.4404,0.03891,0.63342,1.39326,0.0026016,0.0026016,0.0026016
23,2095.89,0.03515,0.61998,1.20326,0.85238,0.74122,0.81326,0.452,0.03837,0.6128,1.36372,0.00232263,0.00232263,0.00232263
24,2176.48,0.03461,0.59107,1.18398,0.86075,0.72,0.80317,0.44334,0.03821,0.6082,1.36776,0.00204366,0.00204366,0.00204366
25,2255.26,0.03426,0.57574,1.17533,0.84757,0.77038,0.83237,0.43731,0.03923,0.61295,1.38577,0.00176469,0.00176469,0.00176469
26,2339.48,0.03376,0.57037,1.16572,0.82141,0.77323,0.84456,0.45036,0.03789,0.59202,1.37023,0.00148572,0.00148572,0.00148572
27,2419.61,0.03354,0.55168,1.15446,0.89938,0.74552,0.82913,0.45397,0.03775,0.58273,1.35637,0.00120675,0.00120675,0.00120675
28,2493.87,0.03301,0.54109,1.1506,0.77288,0.76169,0.81918,0.46351,0.03675,0.55915,1.31871,0.000927774,0.000927774,0.000927774
29,2577.74,0.03281,0.52934,1.1451,0.7976,0.79412,0.83399,0.46673,0.03672,0.56393,1.32428,0.000648803,0.000648803,0.000648803
30,2658.48,0.03216,0.52271,1.12829,0.90184,0.77668,0.86062,0.4675,0.03692,0.56123,1.32635,0.000369832,0.000369832,0.000369832
