epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.948,0.04589,1.76554,1.23438,0.42019,0.03071,0.02007,0.00591,0.07595,3.44346,3.04973,0.0695353,0.00341508,0.00341508
2,194.447,0.04804,1.43472,1.29838,0.21313,0.21146,0.10269,0.0369,0.06689,4.93994,2.36977,0.038352,0.00665803,0.00665803
3,299.95,0.04794,1.37422,1.27581,0.50483,0.32307,0.27977,0.12223,0.05286,4.08717,1.70088,0.00941472,0.00941472,0.00941472
4,390.833,0.04574,1.25567,1.23717,0.73249,0.39585,0.44114,0.20307,0.04937,2.02873,1.55493,0.00908208,0.00908208,0.00908208
5,483.275,0.04399,1.1928,1.195,0.70791,0.4352,0.50064,0.22598,0.04962,2.08715,1.54063,0.00874944,0.00874944,0.00874944
6,587.408,0.04349,1.12148,1.17534,0.73701,0.4832,0.5616,0.27062,0.04729,1.40739,1.4201,0.0084168,0.0084168,0.0084168
7,678.897,0.04289,1.10602,1.16875,0.84871,0.44352,0.58716,0.27058,0.04566,1.33515,1.39089,0.00808416,0.00808416,0.00808416
8,771.312,0.04171,1.03756,1.12865,0.7532,0.56282,0.62015,0.28827,0.04593,1.14874,1.3649,0.00775152,0.00775152,0.00775152
9,869.63,0.04122,1.01578,1.12696,0.80338,0.60634,0.7385,0.3645,0.04377,0.92281,1.32111,0.00741888,0.00741888,0.00741888
10,963.986,0.04143,1.00329,1.13218,0.60784,0.68587,0.7,0.35225,0.04299,1.07324,1.28377,0.00708624,0.00708624,0.00708624
11,1060.93,0.04041,0.96247,1.11078,0.62694,0.74258,0.7276,0.36772,0.04378,0.92806,1.32521,0.0067536,0.0067536,0.0067536
12,1144.67,0.03986,0.95094,1.11609,0.68949,0.69353,0.70535,0.35922,0.04307,0.92468,1.27367,0.00642096,0.00642096,0.00642096
13,1239.05,0.03972,0.91104,1.09137,0.74154,0.61186,0.67398,0.33687,0.04528,1.03265,1.35654,0.00608832,0.00608832,0.00608832
14,1322.84,0.03949,0.91452,1.08685,0.79539,0.64867,0.75161,0.38168,0.04207,0.86588,1.27187,0.00575568,0.00575568,0.00575568
15,1421.44,0.03918,0.89385,1.09636,0.80662,0.7179,0.80754,0.41764,0.04096,0.79668,1.23262,0.00542304,0.00542304,0.00542304
16,1508.84,0.03858,0.86048,1.06912,0.85654,0.70594,0.79591,0.4106,0.04069,0.77164,1.23268,0.0050904,0.0050904,0.0050904
17,1601.42,0.03848,0.85338,1.08133,0.58879,0.78374,0.76358,0.36928,0.04347,0.8496,1.29578,0.00475776,0.00475776,0.00475776
18,1691.99,0.0381,0.83965,1.06758,0.80869,0.67821,0.75918,0.40457,0.04054,0.78076,1.23046,0.00442512,0.00442512,0.00442512
19,1791.01,0.03778,0.8267,1.05591,0.77388,0.75863,0.81106,0.42536,0.03943,0.8198,1.20456,0.00409248,0.00409248,0.00409248
20,1875.33,0.03712,0.80559,1.05099,0.75348,0.71333,0.79758,0.42376,0.03907,0.733,1.1978,0.00375984,0.00375984,0.00375984
21,2055.59,0.03665,0.74905,1.05544,0.74428,0.73958,0.77924,0.41895,0.03906,0.77168,1.18729,0.0034272,0.0034272,0.0034272
22,2143.66,0.03638,0.73126,1.05533,0.85514,0.70785,0.82717,0.43604,0.04018,0.75291,1.22002,0.00309456,0.00309456,0.00309456
23,2232.92,0.03615,0.72505,1.04651,0.78777,0.72198,0.77122,0.42563,0.03887,0.74982,1.19673,0.00276192,0.00276192,0.00276192
24,2316.1,0.03585,0.7155,1.03828,0.82735,0.68151,0.77723,0.42715,0.03843,0.73063,1.17709,0.00242928,0.00242928,0.00242928
25,2396.04,0.03505,0.69157,1.02405,0.84228,0.689,0.78543,0.43979,0.03792,0.70761,1.16325,0.00209664,0.00209664,0.00209664
26,2481.55,0.03493,0.6772,1.02053,0.79385,0.79314,0.86243,0.46203,0.03783,0.69537,1.16702,0.001764,0.001764,0.001764
27,2563.46,0.03465,0.65534,1.01253,0.83254,0.79786,0.85657,0.47289,0.03779,0.6656,1.16489,0.00143136,0.00143136,0.00143136
28,2642.31,0.03415,0.64435,1.00836,0.84412,0.73036,0.81871,0.46259,0.03733,0.66362,1.15195,0.00109872,0.00109872,0.00109872
29,2727.32,0.03382,0.6267,1.00293,0.83212,0.8178,0.86721,0.47905,0.03693,0.6463,1.13531,0.00076608,0.00076608,0.00076608
30,2808.43,0.03349,0.6197,0.99323,0.8588,0.80273,0.87254,0.48799,0.03713,0.63562,1.1409,0.00043344,0.00043344,0.00043344
