epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,107.433,0.04372,1.76984,1.35991,0.40299,0.02998,0.00187,0.00045,0.07404,18.2814,5.54639,0.064401,0.00364152,0.00364152
2,203.603,0.04654,1.53203,1.44244,0.48405,0.09174,0.03824,0.014,0.07347,4.10429,3.30275,0.0279856,0.00709949,0.00709949
3,306.263,0.04499,1.44921,1.39904,0.56883,0.25137,0.23589,0.0862,0.06328,2.95721,2.28512,0.00866752,0.00866752,0.00866752
4,397.167,0.0441,1.3779,1.3748,0.53738,0.29126,0.29845,0.13785,0.04965,2.22615,1.76325,0.00836128,0.00836128,0.00836128
5,483.399,0.04164,1.22354,1.30394,0.64155,0.39046,0.42093,0.19305,0.0476,1.96014,1.63584,0.00805504,0.00805504,0.00805504
6,582.345,0.04075,1.17475,1.28628,0.60385,0.45399,0.43902,0.19905,0.0476,1.74204,1.62574,0.0077488,0.0077488,0.0077488
7,672.199,0.04035,1.1068,1.27504,0.71456,0.48013,0.55147,0.26167,0.04442,1.33846,1.544,0.00744256,0.00744256,0.00744256
8,764.218,0.03895,1.07688,1.24109,0.76789,0.59585,0.69396,0.33676,0.04149,1.0419,1.43789,0.00713632,0.00713632,0.00713632
9,857.328,0.03951,1.04677,1.25234,0.72726,0.54761,0.63308,0.33263,0.04093,1.06646,1.40817,0.00683008,0.00683008,0.00683008
10,946.751,0.03832,1.02225,1.21364,0.61681,0.63209,0.67337,0.32322,0.04278,1.00182,1.45013,0.00652384,0.00652384,0.00652384
11,1039.79,0.03843,1.01153,1.21675,0.79152,0.60186,0.73775,0.35778,0.04188,0.97583,1.44306,0.0062176,0.0062176,0.0062176
12,1140.7,0.03726,0.96511,1.19505,0.73938,0.68285,0.78096,0.40539,0.0393,0.91853,1.37862,0.00591136,0.00591136,0.00591136
13,1233.01,0.03699,0.94502,1.18656,0.64763,0.65343,0.72863,0.38564,0.03916,0.91613,1.36216,0.00560512,0.00560512,0.00560512
14,1327.04,0.03623,0.92143,1.17555,0.78938,0.68519,0.7891,0.41505,0.03837,0.84557,1.33805,0.00529888,0.00529888,0.00529888
15,1415.77,0.03636,0.88903,1.16122,0.79391,0.69369,0.7474,0.39853,0.03738,0.82959,1.32424,0.00499264,0.00499264,0.00499264
16,1501.6,0.03617,0.90086,1.16681,0.69381,0.70923,0.76653,0.38497,0.03892,0.8865,1.35751,0.0046864,0.0046864,0.0046864
17,1595.16,0.03552,0.87522,1.16039,0.82953,0.73091,0.81032,0.43688,0.03744,0.79091,1.32754,0.00438016,0.00438016,0.00438016
18,1688.4,0.03609,0.86515,1.16644,0.77947,0.67506,0.76878,0.41132,0.03735,0.81777,1.31434,0.00407392,0.00407392,0.00407392
19,1768.98,0.03512,0.85262,1.1396,0.84486,0.69801,0.78709,0.42274,0.03655,0.82305,1.29185,0.00376768,0.00376768,0.00376768
20,1861.9,0.03437,0.82656,1.13595,0.86429,0.6877,0.80599,0.42137,0.03728,0.78115,1.30517,0.00346144,0.00346144,0.00346144
21,1991.91,0.0342,0.75808,1.14316,0.78337,0.74645,0.80628,0.42645,0.03696,0.76108,1.31055,0.0031552,0.0031552,0.0031552
22,2075.06,0.03389,0.73667,1.13145,0.78663,0.78236,0.8333,0.44488,0.03696,0.75183,1.31567,0.00284896,0.00284896,0.00284896
23,2156.97,0.03407,0.73512,1.13225,0.77988,0.73922,0.79807,0.44653,0.03594,0.73074,1.266,0.00254272,0.00254272,0.00254272
24,2233.05,0.03359,0.72427,1.12512,0.75814,0.78459,0.82037,0.44138,0.0365,0.74715,1.28846,0.00223648,0.00223648,0.00223648
25,2311.94,0.03279,0.69231,1.11492,0.83972,0.70115,0.82235,0.45104,0.03583,0.72018,1.26751,0.00193024,0.00193024,0.00193024
26,2394.65,0.03239,0.68755,1.09636,0.83563,0.77141,0.83275,0.45405,0.03569,0.72008,1.26478,0.001624,0.001624,0.001624
27,2470.72,0.03218,0.66403,1.08664,0.79841,0.78743,0.84692,0.47494,0.03526,0.68433,1.25951,0.00131776,0.00131776,0.00131776
28,2547.23,0.03158,0.64906,1.0841,0.86437,0.74036,0.82784,0.46093,0.03531,0.68571,1.24901,0.00101152,0.00101152,0.00101152
29,2628.77,0.03141,0.6331,1.07916,0.90112,0.73066,0.85016,0.48122,0.03453,0.66625,1.23619,0.00070528,0.00070528,0.00070528
30,2703.77,0.03096,0.62706,1.0649,0.86529,0.77527,0.85951,0.47825,0.03503,0.66134,1.24727,0.00039904,0.00039904,0.00039904
