epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.2014,0.02723,2.04897,1.32444,0.01121,0.33864,0.02152,0.00704,0.04128,4.51191,6.31334,0.0633141,0.00255456,0.00255456
2,165.497,0.02908,1.77457,1.40725,0.37694,0.31871,0.18333,0.07393,0.03605,4.11781,2.30193,0.0258664,0.00498036,0.00498036
3,252.605,0.02848,1.64605,1.37435,0.7692,0.21155,0.26066,0.11623,0.03346,3.16733,1.90104,0.00608034,0.00608034,0.00608034
4,338.904,0.02735,1.51593,1.31658,0.72565,0.44169,0.47322,0.19194,0.03228,2.38644,1.6983,0.00586551,0.00586551,0.00586551
5,427.397,0.02659,1.42671,1.2739,0.41734,0.47576,0.45517,0.21441,0.02987,1.86016,1.62508,0.00565068,0.00565068,0.00565068
6,514.968,0.02583,1.339,1.25871,0.7208,0.43252,0.55776,0.26104,0.02891,1.58941,1.51183,0.00543585,0.00543585,0.00543585
7,596.029,0.02566,1.31074,1.2577,0.67322,0.40314,0.45455,0.20073,0.03004,1.88002,1.58102,0.00522102,0.00522102,0.00522102
8,687.618,0.02528,1.25614,1.2401,0.46446,0.52778,0.50081,0.20704,0.03213,1.57684,1.61677,0.00500619,0.00500619,0.00500619
9,775.505,0.02523,1.24661,1.23986,0.76827,0.63572,0.68734,0.32789,0.02705,1.2974,1.41809,0.00479136,0.00479136,0.00479136
10,856.995,0.02474,1.19586,1.21232,0.76281,0.59721,0.68375,0.33127,0.02708,1.23673,1.41362,0.00457653,0.00457653,0.00457653
11,947.738,0.02409,1.1553,1.19435,0.71707,0.66556,0.72557,0.37719,0.02523,1.16763,1.35435,0.0043617,0.0043617,0.0043617
12,1042.88,0.02392,1.13007,1.18097,0.79869,0.62126,0.72944,0.37688,0.02488,1.05996,1.31923,0.00414687,0.00414687,0.00414687
13,1128.82,0.02354,1.10218,1.16291,0.69533,0.72732,0.75278,0.3886,0.02558,1.0683,1.34862,0.00393204,0.00393204,0.00393204
14,1214,0.02332,1.06478,1.15683,0.81137,0.70061,0.78164,0.395,0.02541,1.02334,1.35647,0.00371721,0.00371721,0.00371721
15,1301.68,0.02345,1.06444,1.16437,0.78878,0.71003,0.75152,0.38548,0.02515,1.03898,1.33,0.00350238,0.00350238,0.00350238
16,1387.95,0.02311,1.02951,1.149,0.77798,0.63525,0.7522,0.41193,0.02469,1.03921,1.32264,0.00328755,0.00328755,0.00328755
17,1476.55,0.02308,1.01108,1.1552,0.83603,0.68218,0.78063,0.41876,0.02406,0.94147,1.28732,0.00307272,0.00307272,0.00307272
18,1562.87,0.0227,0.99098,1.13782,0.79862,0.7379,0.81538,0.41566,0.0246,0.94648,1.30482,0.00285789,0.00285789,0.00285789
19,1642.73,0.02255,0.98959,1.13285,0.8425,0.75775,0.82964,0.43693,0.02415,0.88829,1.29769,0.00264306,0.00264306,0.00264306
20,1735.14,0.02226,0.9559,1.11704,0.89193,0.73161,0.81747,0.4391,0.02384,0.87395,1.27125,0.00242823,0.00242823,0.00242823
21,1864.7,0.02156,0.88545,1.10917,0.83505,0.76615,0.8365,0.45827,0.02319,0.85633,1.26484,0.0022134,0.0022134,0.0022134
22,1950.52,0.02157,0.8561,1.11194,0.86156,0.74704,0.83872,0.4536,0.02405,0.85978,1.29937,0.00199857,0.00199857,0.00199857
23,2035.1,0.02148,0.84778,1.10367,0.82049,0.72706,0.81034,0.44462,0.02386,0.8526,1.27249,0.00178374,0.00178374,0.00178374
24,2117.29,0.02113,0.83145,1.09149,0.82093,0.74492,0.78393,0.42771,0.02352,0.90208,1.26818,0.00156891,0.00156891,0.00156891
25,2197.28,0.02089,0.8078,1.0859,0.7636,0.77884,0.84023,0.46059,0.0236,0.85375,1.25785,0.00135408,0.00135408,0.00135408
26,2281.1,0.02069,0.79388,1.07888,0.86918,0.70893,0.80087,0.44843,0.02317,0.83356,1.25425,0.00113925,0.00113925,0.00113925
27,2360.86,0.02064,0.77556,1.07276,0.8728,0.78437,0.85056,0.48067,0.0228,0.7924,1.23659,0.00092442,0.00092442,0.00092442
28,2437.47,0.02016,0.7529,1.06632,0.83334,0.73295,0.82993,0.46113,0.02276,0.80746,1.23927,0.00070959,0.00070959,0.00070959
29,2524.37,0.02006,0.74281,1.05989,0.79559,0.79823,0.85681,0.47837,0.02238,0.79575,1.21716,0.00049476,0.00049476,0.00049476
30,2599.9,0.01978,0.73161,1.04609,0.85754,0.80815,0.88701,0.47911,0.02277,0.76841,1.2346,0.00027993,0.00027993,0.00027993
