epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,108.981,0.04746,1.85717,1.25252,0.11683,0.21372,0.06852,0.02249,0.08828,4.5819,5.96942,0.0659714,0.00354715,0.00354715
2,195.816,0.04914,1.44656,1.30381,0.26797,0.12706,0.04328,0.01483,0.08618,7.8761,3.83564,0.0311579,0.00691552,0.00691552
3,297.309,0.04749,1.32189,1.26511,0.33792,0.3038,0.14628,0.0588,0.05755,8.05844,1.83995,0.00881696,0.00881696,0.00881696
4,389.352,0.0468,1.2965,1.26099,0.5681,0.30215,0.26826,0.11319,0.05322,3.87261,1.71108,0.00850544,0.00850544,0.00850544
5,471.356,0.04568,1.22969,1.23798,0.56118,0.36497,0.33526,0.13337,0.05657,3.78168,1.74077,0.00819392,0.00819392,0.00819392
6,569.448,0.04456,1.16687,1.19863,0.70809,0.54289,0.5345,0.25118,0.04683,2.02324,1.41006,0.0078824,0.0078824,0.0078824
7,662.523,0.04398,1.12849,1.18772,0.8174,0.57965,0.63554,0.30875,0.04557,1.37555,1.38471,0.00757088,0.00757088,0.00757088
8,743.737,0.04349,1.0606,1.16414,0.78042,0.54447,0.5846,0.2727,0.04747,1.23799,1.41932,0.00725936,0.00725936,0.00725936
9,832.39,0.04279,1.03564,1.15011,0.8045,0.59525,0.67396,0.31579,0.04655,1.01422,1.38791,0.00694784,0.00694784,0.00694784
10,922.557,0.04169,1.00874,1.11971,0.79785,0.60899,0.67914,0.35487,0.0421,0.99808,1.30318,0.00663632,0.00663632,0.00663632
11,1012,0.04152,1.01433,1.13101,0.84537,0.61088,0.68835,0.33435,0.04435,0.9868,1.33737,0.0063248,0.0063248,0.0063248
12,1102.49,0.04105,0.9831,1.13529,0.81609,0.57129,0.66704,0.32928,0.04365,1.01127,1.33846,0.00601328,0.00601328,0.00601328
13,1195.53,0.04124,0.98363,1.12819,0.82065,0.6193,0.69796,0.3658,0.04137,0.8825,1.25394,0.00570176,0.00570176,0.00570176
14,1295.91,0.0401,0.95541,1.09523,0.61493,0.63661,0.72405,0.38485,0.04113,0.85974,1.2338,0.00539024,0.00539024,0.00539024
15,1398.37,0.04019,0.9224,1.09541,0.77847,0.69991,0.74167,0.38832,0.04138,0.89514,1.2619,0.00507872,0.00507872,0.00507872
16,1488.83,0.03921,0.92836,1.08769,0.77595,0.69498,0.74413,0.3856,0.04118,0.8496,1.24672,0.0047672,0.0047672,0.0047672
17,1582.15,0.03979,0.90056,1.09032,0.79939,0.66847,0.74793,0.39432,0.04082,0.81516,1.23339,0.00445568,0.00445568,0.00445568
18,1680.43,0.03908,0.90459,1.09042,0.7792,0.7116,0.72653,0.39327,0.03993,0.81592,1.22203,0.00414416,0.00414416,0.00414416
19,1768.4,0.03902,0.87508,1.08322,0.75964,0.69096,0.76379,0.40411,0.04059,0.81085,1.22495,0.00383264,0.00383264,0.00383264
20,1850.97,0.03849,0.84926,1.07521,0.64805,0.77468,0.81906,0.42154,0.0402,0.7885,1.22564,0.00352112,0.00352112,0.00352112
21,1976.37,0.03776,0.81534,1.0811,0.71774,0.74066,0.77378,0.40587,0.04024,0.8083,1.22769,0.0032096,0.0032096,0.0032096
22,2046.92,0.03732,0.78268,1.07245,0.75255,0.74907,0.79028,0.42406,0.03983,0.75422,1.22098,0.00289808,0.00289808,0.00289808
23,2126.87,0.03724,0.77149,1.06397,0.81679,0.65986,0.7639,0.41961,0.03968,0.7752,1.23157,0.00258656,0.00258656,0.00258656
24,2199.85,0.0367,0.74348,1.05301,0.78319,0.67983,0.77218,0.43266,0.03936,0.74598,1.19726,0.00227504,0.00227504,0.00227504
25,2274.73,0.03632,0.7318,1.05105,0.84222,0.75172,0.80247,0.45062,0.03946,0.71921,1.20406,0.00196352,0.00196352,0.00196352
26,2355.81,0.03609,0.71434,1.04068,0.85482,0.72513,0.82112,0.45218,0.03829,0.71784,1.1692,0.001652,0.001652,0.001652
27,2429.79,0.0357,0.69883,1.03106,0.88843,0.72054,0.84756,0.45562,0.03874,0.69158,1.17875,0.00134048,0.00134048,0.00134048
28,2533.77,0.03544,0.69156,1.03064,0.88802,0.71784,0.80801,0.44853,0.03908,0.70124,1.19918,0.00102896,0.00102896,0.00102896
29,2615.84,0.03522,0.68216,1.02889,0.88965,0.7403,0.83964,0.46727,0.038,0.69141,1.16159,0.00071744,0.00071744,0.00071744
30,2694.05,0.0349,0.67497,1.01465,0.83025,0.74941,0.81732,0.45239,0.03868,0.68847,1.18938,0.00040592,0.00040592,0.00040592
