epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,104.451,0.04614,2.25809,1.25281,0.06599,0.09962,0.04292,0.01382,0.08534,16.2924,4.41563,0.0655594,0.00383099,0.00383099
2,185.369,0.04665,1.77754,1.2791,0.28363,0.19065,0.05128,0.01513,0.07152,8.17952,2.87567,0.0303084,0.00746888,0.00746888
3,275.767,0.04595,1.72589,1.28463,0.23036,0.15579,0.02473,0.00851,0.06865,9.42493,2.54037,0.00934934,0.00934934,0.00934934
4,362.752,0.045,1.6026,1.24461,0.44812,0.28302,0.21994,0.07604,0.05739,8.92643,1.84394,0.00901901,0.00901901,0.00901901
5,455.009,0.04287,1.5364,1.20586,0.51707,0.25773,0.21828,0.08486,0.05574,6.27132,1.8343,0.00868868,0.00868868,0.00868868
6,546.645,0.04215,1.4356,1.17839,0.73045,0.36758,0.45462,0.21488,0.04512,2.80759,1.41904,0.00835835,0.00835835,0.00835835
7,636.325,0.04178,1.40134,1.17404,0.68171,0.56063,0.58875,0.29165,0.04163,1.55852,1.30286,0.00802802,0.00802802,0.00802802
8,725.659,0.04086,1.36213,1.15091,0.80457,0.55019,0.63564,0.30293,0.04296,1.34274,1.34178,0.00769769,0.00769769,0.00769769
9,825.021,0.04051,1.31405,1.14078,0.79542,0.54968,0.62187,0.31557,0.04054,1.4292,1.2811,0.00736736,0.00736736,0.00736736
10,908.223,0.04042,1.29577,1.13747,0.72462,0.67994,0.71812,0.36492,0.03981,1.26538,1.25052,0.00703703,0.00703703,0.00703703
11,1020.69,0.03907,1.25349,1.1114,0.81484,0.56611,0.69431,0.35655,0.03965,1.21646,1.25742,0.0067067,0.0067067,0.0067067
12,1118.45,0.0388,1.23235,1.10065,0.61466,0.6688,0.67943,0.35893,0.03973,1.20658,1.23347,0.00637637,0.00637637,0.00637637
13,1223.49,0.03849,1.19107,1.08688,0.65668,0.66549,0.70889,0.37092,0.04002,1.12532,1.24103,0.00604604,0.00604604,0.00604604
14,1326.12,0.03817,1.17527,1.09171,0.82378,0.6104,0.74843,0.38678,0.03915,1.09049,1.23152,0.00571571,0.00571571,0.00571571
15,1413.03,0.03829,1.17764,1.0875,0.76475,0.65369,0.73209,0.37841,0.0391,1.04895,1.22255,0.00538538,0.00538538,0.00538538
16,1496.89,0.03785,1.13944,1.07657,0.84985,0.60198,0.73229,0.3881,0.03872,1.09185,1.22486,0.00505505,0.00505505,0.00505505
17,1598.48,0.03768,1.11169,1.07021,0.72597,0.67279,0.75198,0.413,0.03845,1.01601,1.20135,0.00472472,0.00472472,0.00472472
18,1681.97,0.03733,1.10991,1.07726,0.82593,0.64726,0.76123,0.39643,0.03813,1.04457,1.18903,0.00439439,0.00439439,0.00439439
19,1772.75,0.03703,1.08494,1.06548,0.6986,0.7101,0.75071,0.40245,0.03787,1.01237,1.20145,0.00406406,0.00406406,0.00406406
20,1865.07,0.03689,1.04396,1.05945,0.84136,0.67146,0.74275,0.39482,0.03851,1.02073,1.21179,0.00373373,0.00373373,0.00373373
21,2000.59,0.03581,1.00614,1.05454,0.68146,0.74334,0.75218,0.39907,0.03834,1.00395,1.2051,0.0034034,0.0034034,0.0034034
22,2086.64,0.03564,0.98975,1.05563,0.76627,0.6565,0.75555,0.40528,0.03819,0.97813,1.18927,0.00307307,0.00307307,0.00307307
23,2176.64,0.03551,0.97162,1.04203,0.80589,0.69382,0.7742,0.42233,0.03689,0.98118,1.15772,0.00274274,0.00274274,0.00274274
24,2259.52,0.03476,0.93313,1.02617,0.71985,0.74201,0.782,0.43031,0.03696,0.94133,1.16411,0.00241241,0.00241241,0.00241241
25,2339.63,0.03465,0.9171,1.02592,0.84511,0.73002,0.79418,0.43441,0.03747,0.92047,1.18253,0.00208208,0.00208208,0.00208208
26,2424.1,0.0343,0.89653,1.01621,0.81069,0.73751,0.79339,0.42916,0.03724,0.9183,1.16014,0.00175175,0.00175175,0.00175175
27,2505.57,0.03417,0.87804,1.01348,0.82519,0.71356,0.77964,0.43535,0.03614,0.88847,1.14841,0.00142142,0.00142142,0.00142142
28,2580.75,0.03392,0.86282,1.01235,0.79038,0.74523,0.80673,0.43758,0.03699,0.87334,1.16345,0.00109109,0.00109109,0.00109109
29,2666.19,0.03349,0.85946,1.00643,0.82627,0.74504,0.81193,0.44863,0.03634,0.86038,1.1532,0.00076076,0.00076076,0.00076076
30,2743.46,0.03342,0.84893,1.00369,0.87011,0.70664,0.81083,0.44971,0.03637,0.85876,1.15195,0.00043043,0.00043043,0.00043043
