epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,108.526,0.03891,1.74717,1.38075,0.04055,0.39967,0.05014,0.01744,0.06106,3.901,4.94627,0.0675306,0.00336879,0.00336879
2,194.649,0.04126,1.47934,1.44148,0.33801,0.27054,0.14299,0.05316,0.05505,4.79476,2.4256,0.0343142,0.00656849,0.00656849
3,284.677,0.04192,1.49324,1.46357,0.47584,0.32981,0.22694,0.09779,0.05209,5.74201,2.27705,0.00878158,0.00878158,0.00878158
4,371.535,0.03928,1.32619,1.39072,0.66393,0.37624,0.41088,0.19419,0.04664,1.9314,1.79714,0.00847237,0.00847237,0.00847237
5,452.647,0.03776,1.227,1.33937,0.5703,0.29618,0.28899,0.12054,0.04916,1.97939,1.93085,0.00816316,0.00816316,0.00816316
6,543.022,0.03667,1.15431,1.31332,0.69885,0.52557,0.57634,0.27946,0.03957,1.29608,1.51139,0.00785395,0.00785395,0.00785395
7,635.366,0.0362,1.11109,1.30239,0.8159,0.54568,0.66224,0.33054,0.03698,1.09489,1.44381,0.00754474,0.00754474,0.00754474
8,727.409,0.03547,1.05596,1.27388,0.74752,0.55941,0.64498,0.32165,0.03766,0.99622,1.45474,0.00723553,0.00723553,0.00723553
9,817.816,0.03527,1.03133,1.28113,0.78545,0.55973,0.6282,0.32152,0.03767,1.07013,1.51085,0.00692632,0.00692632,0.00692632
10,906.102,0.0348,1.0118,1.26565,0.6733,0.60457,0.66401,0.30824,0.03969,1.04509,1.53651,0.00661711,0.00661711,0.00661711
11,991.606,0.03419,0.99396,1.24268,0.62045,0.63023,0.65979,0.34412,0.0359,1.0199,1.41194,0.0063079,0.0063079,0.0063079
12,1080.93,0.03334,0.94403,1.22289,0.63325,0.76899,0.72898,0.38057,0.03447,0.88051,1.37218,0.00599869,0.00599869,0.00599869
13,1171.55,0.03365,0.94735,1.21474,0.60762,0.72044,0.70744,0.35606,0.03736,0.93026,1.44003,0.00568948,0.00568948,0.00568948
14,1250.73,0.03337,0.91469,1.21452,0.74963,0.63475,0.70458,0.37706,0.03471,0.86178,1.36299,0.00538027,0.00538027,0.00538027
15,1341.49,0.03303,0.88151,1.19591,0.65413,0.60289,0.6642,0.33983,0.03695,0.97923,1.43372,0.00507106,0.00507106,0.00507106
16,1419.76,0.03287,0.87451,1.18956,0.86424,0.62794,0.73713,0.38684,0.03508,0.81222,1.38238,0.00476185,0.00476185,0.00476185
17,1510.13,0.03257,0.8853,1.19298,0.7047,0.73752,0.76701,0.41545,0.03346,0.81665,1.34169,0.00445264,0.00445264,0.00445264
18,1600.09,0.03227,0.85333,1.19693,0.82812,0.7004,0.75285,0.4069,0.03347,0.79425,1.3158,0.00414343,0.00414343,0.00414343
19,1692.97,0.03175,0.82848,1.16496,0.82493,0.67209,0.78002,0.42449,0.03318,0.7749,1.32463,0.00383422,0.00383422,0.00383422
20,1783.04,0.03144,0.81183,1.1622,0.70357,0.70338,0.73884,0.41448,0.03294,0.78579,1.3161,0.00352501,0.00352501,0.00352501
21,1913.67,0.03081,0.76205,1.1665,0.72835,0.7355,0.75656,0.42861,0.03276,0.72487,1.30373,0.0032158,0.0032158,0.0032158
22,1996.61,0.03075,0.734,1.16027,0.78919,0.71132,0.79362,0.43352,0.03411,0.74552,1.35683,0.00290659,0.00290659,0.00290659
23,2080.2,0.03056,0.7242,1.15463,0.80993,0.74514,0.81023,0.45312,0.03228,0.70352,1.2812,0.00259738,0.00259738,0.00259738
24,2154.25,0.03007,0.70615,1.13989,0.81635,0.65989,0.74348,0.41426,0.03347,0.77412,1.32744,0.00228817,0.00228817,0.00228817
25,2225.11,0.02958,0.691,1.12196,0.78231,0.74423,0.75503,0.42773,0.03317,0.73191,1.30503,0.00197896,0.00197896,0.00197896
26,2306.54,0.02923,0.68373,1.11586,0.78568,0.71837,0.78472,0.44856,0.03184,0.69828,1.27871,0.00166975,0.00166975,0.00166975
27,2381.88,0.02911,0.65819,1.11099,0.87314,0.75721,0.84804,0.47075,0.03188,0.67922,1.27267,0.00136054,0.00136054,0.00136054
28,2485.4,0.02852,0.63845,1.10443,0.83276,0.74808,0.80457,0.46154,0.03171,0.66564,1.27848,0.00105133,0.00105133,0.00105133
29,2570.15,0.02834,0.63077,1.09716,0.79206,0.79847,0.81469,0.46703,0.03094,0.66218,1.24649,0.000742124,0.000742124,0.000742124
30,2645.99,0.028,0.61958,1.08659,0.8239,0.74933,0.81706,0.46826,0.03159,0.64815,1.26605,0.000432914,0.000432914,0.000432914
