epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,107.786,0.04769,1.4774,1.08029,0.02387,0.13436,0.02072,0.00834,0.09376,3.04978,5.06212,0.0637766,0.00429948,0.00429948
2,201.629,0.04881,1.18959,1.11413,0.21875,0.19104,0.02748,0.00847,0.07542,18.3399,2.7244,0.0266829,0.00838225,0.00838225
3,294.249,0.04763,1.11204,1.09387,0.60468,0.19557,0.15384,0.06115,0.05699,4.0901,1.60694,0.00990974,0.00990974,0.00990974
4,387.107,0.04591,1.05375,1.06287,0.68214,0.40631,0.43313,0.19084,0.05055,1.74596,1.3238,0.00955961,0.00955961,0.00955961
5,467.359,0.04479,0.98235,1.03247,0.64656,0.43554,0.43814,0.20187,0.04932,1.36548,1.24908,0.00920948,0.00920948,0.00920948
6,566.828,0.04388,0.95848,1.01908,0.59741,0.4178,0.37815,0.16648,0.05196,1.89318,1.31504,0.00885935,0.00885935,0.00885935
7,656.11,0.04338,0.92407,1.00256,0.80339,0.404,0.48111,0.21934,0.04874,1.12044,1.24008,0.00850922,0.00850922,0.00850922
8,750.306,0.04295,0.88581,0.994,0.75828,0.46735,0.54148,0.26788,0.04548,1.25013,1.16807,0.00815909,0.00815909,0.00815909
9,840.65,0.04249,0.87048,0.98249,0.58835,0.52222,0.59888,0.30363,0.04389,0.94804,1.13267,0.00780896,0.00780896,0.00780896
10,933.535,0.04213,0.83972,0.95992,0.59548,0.60873,0.64516,0.33213,0.04338,0.81895,1.11002,0.00745883,0.00745883,0.00745883
11,1021.9,0.04188,0.84765,0.9751,0.58077,0.58231,0.63672,0.31682,0.04338,0.87273,1.11141,0.0071087,0.0071087,0.0071087
12,1114.69,0.04063,0.80757,0.95491,0.73753,0.57624,0.69644,0.3607,0.04288,0.76376,1.08992,0.00675857,0.00675857,0.00675857
13,1202.54,0.03995,0.76917,0.93923,0.66795,0.69719,0.74332,0.37639,0.04278,0.70992,1.08637,0.00640844,0.00640844,0.00640844
14,1295.51,0.03984,0.77509,0.94324,0.80649,0.6725,0.73164,0.37562,0.04262,0.7258,1.09493,0.00605831,0.00605831,0.00605831
15,1387.12,0.03923,0.74195,0.92679,0.73414,0.67401,0.76008,0.39831,0.04128,0.6653,1.05571,0.00570818,0.00570818,0.00570818
16,1471.59,0.0393,0.73141,0.92944,0.72282,0.71466,0.72745,0.35275,0.04402,0.731,1.11276,0.00535805,0.00535805,0.00535805
17,1569.64,0.03898,0.71869,0.92085,0.69146,0.68403,0.73097,0.39672,0.04077,0.68319,1.0452,0.00500792,0.00500792,0.00500792
18,1659.11,0.03852,0.69697,0.91523,0.79611,0.69772,0.81043,0.41906,0.04062,0.65274,1.02584,0.00465779,0.00465779,0.00465779
19,1754.63,0.03802,0.69585,0.90768,0.71342,0.69902,0.76637,0.42397,0.04001,0.65123,1.02344,0.00430766,0.00430766,0.00430766
20,1837.6,0.03763,0.68242,0.90413,0.84428,0.64718,0.77337,0.40509,0.04088,0.6286,1.04883,0.00395753,0.00395753,0.00395753
21,1964.53,0.03697,0.62882,0.9078,0.73731,0.70363,0.77513,0.42515,0.03913,0.62261,1.01636,0.0036074,0.0036074,0.0036074
22,2052.15,0.03669,0.60783,0.90038,0.71528,0.75239,0.7867,0.42258,0.04081,0.62001,1.05021,0.00325727,0.00325727,0.00325727
23,2139.26,0.03639,0.60358,0.89262,0.79413,0.66523,0.7445,0.40692,0.03983,0.61814,1.02955,0.00290714,0.00290714,0.00290714
24,2219.19,0.03634,0.59057,0.88972,0.7637,0.72612,0.77632,0.42514,0.03858,0.60115,1.00559,0.00255701,0.00255701,0.00255701
25,2297.49,0.0358,0.57632,0.88637,0.80903,0.72287,0.77086,0.42119,0.04026,0.60303,1.03881,0.00220688,0.00220688,0.00220688
26,2380.56,0.03523,0.56154,0.87436,0.83498,0.6823,0.76638,0.43101,0.0383,0.58415,1.00807,0.00185675,0.00185675,0.00185675
27,2462.02,0.03511,0.55266,0.868,0.76593,0.75782,0.79771,0.44742,0.03896,0.56352,1.01402,0.00150662,0.00150662,0.00150662
28,2536.08,0.03454,0.5378,0.86529,0.81693,0.69942,0.77101,0.43956,0.03859,0.56224,1.00937,0.00115649,0.00115649,0.00115649
29,2620.8,0.03434,0.53307,0.86216,0.78097,0.75973,0.79707,0.44051,0.03925,0.55894,1.01551,0.00080636,0.00080636,0.00080636
30,2699.73,0.03404,0.52684,0.85285,0.89177,0.73045,0.82111,0.46375,0.03773,0.55001,0.98747,0.00045623,0.00045623,0.00045623
