epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,110.433,0.04664,1.62256,1.38845,0.07384,0.1589,0.03975,0.01116,0.09765,3.60846,8.89783,0.064711,0.00395152,0.00395152
2,196.574,0.04992,1.3909,1.45823,0.2915,0.19013,0.06526,0.02074,0.07284,6.70469,3.06167,0.02859,0.00770392,0.00770392
3,297.656,0.04927,1.35099,1.45197,0.28809,0.1291,0.03142,0.01141,0.07462,5.12221,2.77366,0.00940552,0.00940552,0.00940552
4,391.736,0.04599,1.19573,1.36996,0.6245,0.27511,0.33124,0.13987,0.05898,2.06547,2.00039,0.00907328,0.00907328,0.00907328
5,484.784,0.04502,1.12852,1.34073,0.69238,0.40039,0.44426,0.20374,0.04945,2.02071,1.61204,0.00874104,0.00874104,0.00874104
6,577.383,0.04353,1.03945,1.30329,0.81296,0.45867,0.58564,0.27587,0.04711,1.24692,1.55162,0.0084088,0.0084088,0.0084088
7,661.257,0.04321,1.02863,1.31056,0.78339,0.49265,0.56951,0.25293,0.04864,1.18936,1.6066,0.00807656,0.00807656,0.00807656
8,748.331,0.0429,0.99663,1.28719,0.54812,0.61808,0.64048,0.32091,0.04466,1.04261,1.49377,0.00774432,0.00774432,0.00774432
9,845.578,0.04254,1.00387,1.2872,0.62849,0.61367,0.67043,0.30488,0.04884,0.94442,1.61718,0.00741208,0.00741208,0.00741208
10,932.553,0.04131,0.94242,1.25069,0.79295,0.60091,0.71408,0.38373,0.04165,0.85826,1.381,0.00707984,0.00707984,0.00707984
11,1026.01,0.04081,0.90828,1.25197,0.62962,0.61632,0.65086,0.33111,0.04347,1.07447,1.45687,0.0067476,0.0067476,0.0067476
12,1121.57,0.0402,0.88474,1.2383,0.78981,0.59502,0.68638,0.35643,0.04306,0.87108,1.43696,0.00641537,0.00641537,0.00641537
13,1209.91,0.03998,0.88025,1.22743,0.734,0.65727,0.747,0.38619,0.04175,0.87338,1.40909,0.00608313,0.00608313,0.00608313
14,1331.11,0.03945,0.84899,1.21165,0.71169,0.70552,0.74724,0.38143,0.04258,0.85018,1.42273,0.00575089,0.00575089,0.00575089
15,1424.84,0.03865,0.81186,1.19527,0.72572,0.68323,0.70956,0.37631,0.04136,0.79957,1.36639,0.00541865,0.00541865,0.00541865
16,1512.53,0.03873,0.81298,1.19675,0.83587,0.65689,0.73923,0.3972,0.04148,0.76769,1.38229,0.00508641,0.00508641,0.00508641
17,1607.39,0.03818,0.79378,1.18795,0.62085,0.72852,0.75289,0.39527,0.04047,0.77394,1.3429,0.00475417,0.00475417,0.00475417
18,1689.83,0.03834,0.80477,1.18864,0.74091,0.71901,0.76438,0.42466,0.04071,0.73334,1.35078,0.00442193,0.00442193,0.00442193
19,1781.13,0.0379,0.76642,1.17184,0.80589,0.70075,0.80349,0.42395,0.04004,0.73649,1.33834,0.00408969,0.00408969,0.00408969
20,1882.03,0.03769,0.7719,1.17655,0.85183,0.68561,0.80137,0.42679,0.03949,0.73484,1.34361,0.00375745,0.00375745,0.00375745
21,2011.05,0.03667,0.71683,1.16728,0.82345,0.73523,0.82252,0.4428,0.03858,0.69535,1.29429,0.00342521,0.00342521,0.00342521
22,2095.16,0.03592,0.6832,1.15333,0.79013,0.75326,0.8379,0.44424,0.03983,0.68202,1.34991,0.00309297,0.00309297,0.00309297
23,2176.81,0.03645,0.68382,1.16092,0.81762,0.74059,0.8025,0.43287,0.04028,0.6961,1.34709,0.00276073,0.00276073,0.00276073
24,2254.94,0.03572,0.66438,1.14758,0.69757,0.7334,0.75218,0.41271,0.03964,0.70555,1.34729,0.00242849,0.00242849,0.00242849
25,2333.47,0.03527,0.64641,1.1366,0.80452,0.6651,0.75231,0.42214,0.0389,0.67864,1.31511,0.00209625,0.00209625,0.00209625
26,2414.91,0.03496,0.63667,1.12759,0.81555,0.80956,0.86164,0.44819,0.03852,0.65249,1.31813,0.00176401,0.00176401,0.00176401
27,2491.02,0.03477,0.62405,1.12074,0.90271,0.76208,0.86434,0.46431,0.03782,0.61284,1.28824,0.00143177,0.00143177,0.00143177
28,2564.3,0.034,0.60666,1.11344,0.90584,0.73318,0.79738,0.45356,0.03763,0.62411,1.29091,0.00109953,0.00109953,0.00109953
29,2648.7,0.03389,0.59546,1.10909,0.88804,0.78793,0.86184,0.46621,0.03695,0.60996,1.26185,0.000767294,0.000767294,0.000767294
30,2725.67,0.03337,0.58401,1.09598,0.87045,0.74222,0.84065,0.46805,0.03725,0.59732,1.27045,0.000435054,0.000435054,0.000435054
