epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,108.914,0.04194,1.47159,1.41197,0.33236,0.08315,0.04371,0.01416,0.06486,2.82559,3.78708,0.0694717,0.00316739,0.00316739
2,195.469,0.04405,1.1976,1.46741,0.31273,0.25113,0.06311,0.02183,0.06291,4.10583,2.80783,0.0382404,0.00617514,0.00617514
3,284.285,0.04513,1.24884,1.50463,0.38645,0.24935,0.18947,0.07638,0.05335,3.19196,2.11061,0.0087796,0.0087796,0.0087796
4,373.137,0.04244,1.10705,1.42696,0.59409,0.36448,0.33476,0.151,0.04901,2.05169,1.86686,0.0084694,0.0084694,0.0084694
5,459.536,0.04169,1.04701,1.39383,0.52502,0.31301,0.27225,0.11816,0.05038,2.17398,1.8559,0.0081592,0.0081592,0.0081592
6,551.301,0.04055,0.98844,1.36758,0.76828,0.5276,0.60663,0.30433,0.04079,1.04096,1.54918,0.007849,0.007849,0.007849
7,631.749,0.0392,0.92268,1.34302,0.78317,0.53108,0.58436,0.28469,0.04173,1.08332,1.55346,0.0075388,0.0075388,0.0075388
8,725.122,0.039,0.90862,1.32107,0.77115,0.5681,0.63204,0.31317,0.04162,0.88649,1.54394,0.0072286,0.0072286,0.0072286
9,815.983,0.03838,0.89764,1.33343,0.79768,0.55572,0.64415,0.33592,0.0396,0.93352,1.51888,0.0069184,0.0069184,0.0069184
10,901.053,0.03757,0.856,1.29141,0.65102,0.57605,0.66996,0.33333,0.0418,0.83469,1.55232,0.0066082,0.0066082,0.0066082
11,982.857,0.03758,0.84585,1.28791,0.75923,0.64272,0.73195,0.3765,0.03788,0.83336,1.41888,0.006298,0.006298,0.006298
12,1080.56,0.03673,0.80619,1.26144,0.64994,0.7018,0.74008,0.40259,0.03772,0.73569,1.41759,0.0059878,0.0059878,0.0059878
13,1173.86,0.03688,0.80088,1.26371,0.72127,0.70924,0.73623,0.3961,0.03773,0.74459,1.40852,0.0056776,0.0056776,0.0056776
14,1252.78,0.03577,0.77952,1.2512,0.81272,0.62397,0.73645,0.38294,0.03799,0.73537,1.42183,0.0053674,0.0053674,0.0053674
15,1347.54,0.03549,0.74656,1.23676,0.66266,0.64703,0.6915,0.37601,0.03848,0.77481,1.43883,0.0050572,0.0050572,0.0050572
16,1426.83,0.03615,0.75725,1.24497,0.71699,0.68807,0.74832,0.38723,0.03799,0.7292,1.42594,0.004747,0.004747,0.004747
17,1512.84,0.03537,0.74599,1.23036,0.78284,0.70612,0.78616,0.42645,0.03652,0.684,1.38978,0.0044368,0.0044368,0.0044368
18,1602.26,0.03506,0.72677,1.23921,0.80642,0.67202,0.76724,0.42362,0.03661,0.67508,1.39173,0.0041266,0.0041266,0.0041266
19,1695.04,0.03509,0.70113,1.21802,0.80992,0.74424,0.78495,0.42382,0.03703,0.67176,1.40249,0.0038164,0.0038164,0.0038164
20,1775.35,0.03438,0.69996,1.20237,0.76767,0.70487,0.78882,0.43663,0.0358,0.63775,1.36594,0.0035062,0.0035062,0.0035062
21,1901.2,0.03346,0.63877,1.2027,0.76112,0.7211,0.78999,0.44146,0.03623,0.65325,1.37868,0.003196,0.003196,0.003196
22,1986.43,0.0335,0.62716,1.20445,0.82725,0.75207,0.81922,0.43711,0.03775,0.65012,1.43036,0.0028858,0.0028858,0.0028858
23,2070.09,0.03316,0.6281,1.19856,0.88087,0.71422,0.82317,0.45434,0.03653,0.62051,1.3851,0.0025756,0.0025756,0.0025756
24,2147.09,0.03268,0.60671,1.18101,0.71151,0.72992,0.77188,0.4404,0.03566,0.6255,1.35666,0.0022654,0.0022654,0.0022654
25,2229.01,0.03227,0.59625,1.17167,0.84632,0.70164,0.80851,0.44924,0.03575,0.61877,1.3556,0.0019552,0.0019552,0.0019552
26,2316.04,0.03176,0.57867,1.16228,0.79008,0.74415,0.81841,0.45685,0.0352,0.59331,1.34623,0.001645,0.001645,0.001645
27,2395.66,0.03162,0.56511,1.15294,0.79331,0.77536,0.83759,0.46558,0.03551,0.57865,1.35875,0.0013348,0.0013348,0.0013348
28,2469.47,0.03103,0.55136,1.14651,0.86945,0.72138,0.81688,0.46485,0.03475,0.57969,1.3268,0.0010246,0.0010246,0.0010246
29,2556.72,0.03093,0.54024,1.14147,0.88501,0.73352,0.84345,0.47418,0.03478,0.56792,1.3325,0.0007144,0.0007144,0.0007144
30,2636.86,0.03063,0.53016,1.12964,0.77213,0.78188,0.86734,0.48294,0.03467,0.55211,1.32749,0.0004042,0.0004042,0.0004042
