epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,106.331,0.04682,1.88767,1.38951,0.0105,0.04125,0.00181,0.00031,0.11458,6.90009,8.27876,0.0650421,0.00403585,0.00403585
2,191.713,0.04851,1.51084,1.42712,0.07509,0.08438,0.04035,0.01356,0.07343,5.97294,3.00638,0.0292521,0.00786846,0.00786846
3,287.546,0.04777,1.46989,1.42925,0.58452,0.25359,0.22217,0.09156,0.0639,8.8528,2.28869,0.00966736,0.00966736,0.00966736
4,371.231,0.04646,1.35117,1.36621,0.4752,0.32252,0.30577,0.12541,0.05415,6.34184,1.81464,0.00932604,0.00932604,0.00932604
5,454.867,0.04469,1.29711,1.33611,0.66325,0.34572,0.37232,0.16694,0.05098,2.86531,1.69036,0.00898472,0.00898472,0.00898472
6,548.418,0.04337,1.19562,1.30006,0.67855,0.38265,0.44818,0.20406,0.0499,1.81681,1.64762,0.00864341,0.00864341,0.00864341
7,631.011,0.04305,1.19304,1.30052,0.66597,0.53567,0.6352,0.31302,0.04291,1.28619,1.4374,0.00830209,0.00830209,0.00830209
8,718.202,0.04155,1.10327,1.25213,0.80857,0.5731,0.70572,0.35618,0.04157,1.17112,1.38778,0.00796077,0.00796077,0.00796077
9,812.943,0.04167,1.08295,1.25832,0.74656,0.51646,0.56466,0.25183,0.04668,1.27489,1.5154,0.00761945,0.00761945,0.00761945
10,899.901,0.04167,1.07505,1.24865,0.63198,0.67001,0.71177,0.33902,0.04369,1.09378,1.45328,0.00727813,0.00727813,0.00727813
11,985.924,0.04122,1.04734,1.24516,0.81017,0.61049,0.69835,0.35676,0.04312,0.97057,1.42308,0.00693681,0.00693681,0.00693681
12,1073.3,0.04047,1.00582,1.22606,0.72345,0.6502,0.69187,0.35099,0.04268,1.02648,1.41105,0.00659549,0.00659549,0.00659549
13,1160.94,0.04054,0.99764,1.22088,0.55692,0.66212,0.70154,0.36489,0.04171,0.95166,1.38768,0.00625417,0.00625417,0.00625417
14,1242.52,0.04044,1.00648,1.22523,0.71503,0.67471,0.71254,0.35619,0.04264,0.97456,1.41951,0.00591285,0.00591285,0.00591285
15,1333.3,0.03924,0.95284,1.20979,0.83705,0.61892,0.72783,0.36226,0.04201,0.90588,1.40035,0.00557154,0.00557154,0.00557154
16,1414.94,0.03941,0.93833,1.19629,0.70102,0.74097,0.75333,0.38026,0.04176,0.90418,1.38715,0.00523022,0.00523022,0.00523022
17,1508.04,0.03937,0.93422,1.19939,0.77922,0.81686,0.82747,0.43852,0.04025,0.81941,1.32351,0.0048889,0.0048889,0.0048889
18,1600.98,0.03855,0.90208,1.1879,0.78082,0.74433,0.76343,0.41147,0.0398,0.83455,1.31227,0.00454758,0.00454758,0.00454758
19,1699.43,0.03841,0.89467,1.18275,0.83648,0.67416,0.77971,0.41308,0.03979,0.81221,1.29645,0.00420626,0.00420626,0.00420626
20,1776.18,0.03758,0.86803,1.1655,0.69365,0.73237,0.78411,0.43347,0.0383,0.80698,1.28817,0.00386494,0.00386494,0.00386494
21,1905.28,0.03669,0.80648,1.16382,0.75504,0.67702,0.76451,0.41072,0.03997,0.82324,1.3381,0.00352362,0.00352362,0.00352362
22,1987.53,0.03662,0.782,1.15639,0.81023,0.76399,0.82765,0.43362,0.04002,0.77902,1.31516,0.0031823,0.0031823,0.0031823
23,2070.21,0.03657,0.77961,1.15694,0.78479,0.74762,0.80131,0.43742,0.03936,0.77616,1.3076,0.00284099,0.00284099,0.00284099
24,2146.18,0.03603,0.74915,1.14348,0.7796,0.74184,0.78562,0.43773,0.03828,0.79009,1.2809,0.00249967,0.00249967,0.00249967
